cuie	codigo	usuario	fecha_carga
N05206	TMI 69		
N05243	TMI 69		
N05271	TMI 69		
N05274	TMI 69		
N05277	TMI 69		
N05285	TMI 69		
N05293	TMI 69		
N05336	TMI 69		
N05341	TMI 69		
N05344	TMI 69		
N05377	TMI 69		
N05405	TMI 69		
N05417	TMI 69		
N05455	TMI 69		
N20016	TMI 69		
N20035	TMI 69		
N20049	TMI 69		
N30014	TMI 69		
N95760	TMI 69		
N95770	TMI 69		
NI8880	TMI 69		
N03167	TMI 70		
N05367	TMI 70		
N05269	RPU 85		
N05293	RPU 85		
N05296	RPU 85		
N05297	RPU 85		
N05305	RPU 85		
N05312	RPU 85		
N05331	RPU 85		
N05348	RPU 85		
N05354	RPU 85		
N05356	RPU 85		
N05357	RPU 85		
N05388	RPU 85		
N05391	RPU 85		
N05409	RPU 85		
N05414	RPU 85		
N05444	RPU 85		
N05451	RPU 85		
N10769	RPU 85		
N20030	RPU 85		
N20034	RPU 85		
N20037	RPU 85		
N20052	RPU 85		
N30011	RPU 85		
N95757	RPU 85		
N95774	RPU 85		
N95791	RPU 85		
N99932	RPU 85		
N03155	RTM 11		
N05164	RTM 11		
ALD005	RTM 11		
N00205	RTM 11		
N00329	RTM 11		
N03585	RTM 11		
N03590	RTM 11		
N05221	RTM 11		
N05249	RTM 11		
N05297	RTM 11		
N05321	RTM 11		
N05400	RTM 11		
N05410	RTM 11		
N05423	RTM 11		
N05428	RTM 11		
N10457	RTM 11		
N10482	RTM 11		
N10483	RTM 11		
N20007	RTM 11		
N20052	RTM 11		
N95724	RTM 11		
N95792	RTM 11		
N99931	RTM 11		
N00483	SIS 01		
N01148	SIS 01		
N05188	SIS 01		
N05200	SIS 01		
N05213	SIS 01		
N05221	SIS 01		
N05229	SIS 01		
N05231	SIS 01		
N05234	SIS 01		
N05245	SIS 01		
N05249	SIS 01		
N05269	SIS 01		
N05279	SIS 01		
N05291	SIS 01		
N05296	SIS 01		
N05326	SIS 01		
N05343	SIS 01		
N05378	SIS 01		
N05396	SIS 01		
N05403	SIS 01		
N05405	SIS 01		
N05428	SIS 01		
N05442	SIS 01		
N20001	SIS 01		
N20012	SIS 01		
N20015	SIS 01		
N30017	SIS 01		
N00419	SIS 17		
N03156	SIS 17		
N05178	SIS 17		
N05183	SIS 17		
N01145	SIS 18		
N05162	SIS 18		
N05166	SIS 18		
N05172	TMI 69		
N05181	TMI 69		
N05367	TMI 69		
N05173	TMI 69		
N05240	TMI 69		
N05263	TMI 69		
N05320	TMI 69		
N05338	TMI 69		
N05342	TMI 69		
N05361	TMI 69		
N05395	TMI 69		
N05402	TMI 69		
N05430	TMI 69		
N05439	TMI 69		
N05462	TMI 69		
N10452	TMI 69		
N20006	TMI 69		
N20008	TMI 69		
N20053	TMI 69		
N95791	TMI 69		
N99979	TMI 69		
N05174	TMI 70		
N05267	RPU 85		
N05277	RPU 85		
N05351	RPU 85		
N05371	RPU 85		
N05374	RPU 85		
N05393	RPU 85		
N05395	RPU 85		
N05404	RPU 85		
N05431	RPU 85		
N05443	RPU 85		
N05446	RPU 85		
N05450	RPU 85		
N10485	RPU 85		
N20001	RPU 85		
N20003	RPU 85		
N20021	RPU 85		
N20041	RPU 85		
N05261	RTM 11		
S00001	RTM 11		
N05185	RTM 11		
N05193	RTM 11		
N05194	RTM 11		
